iata,airport_name,lat,long,currency_code,to_euro
TUC,Teniente Benjamin Matienzo,-26.840861,-65.10494399999999,ARS,0.1081
UAQ,San Juan,-31.571471999999996,-68.418194,ARS,0.1081
RCU,Rio Cuarto Area De Material,-33.085128000000005,-64.261314,ARS,0.1081
VDR,Villa Dolores,-31.945183,-65.146283,ARS,0.1081
LUQ,San Luis,-33.273192,-66.356422,ARS,0.1081
CNQ,Corrientes,-27.445503000000002,-58.761864,ARS,0.1081
RES,Resistencia,-27.449986,-59.056125,ARS,0.1081
FMA,Formosa,-26.212722,-58.228111,ARS,0.1081
IGR,Cataratas Del Iguazu,-25.737281,-54.47344399999999,ARS,0.1081
AOL,Paso De Los Libres,-29.689425,-57.152078,ARS,0.1081
PSS,Posadas,-27.385839,-55.970728,ARS,0.1081
SLA,Salta,-24.855978,-65.48616899999999,ARS,0.1081
JUJ,Jujuy,-24.392778,-65.097778,ARS,0.1081
ORA,Oran,-23.152779000000002,-64.32916999999999,ARS,0.1081
EHL,El Bolson,-41.943189000000004,-71.532289,ARS,0.1081
CRD,Comodoro Rivadavia,-45.785346999999994,-67.465508,ARS,0.1081
EQS,Esquel,-42.90795,-71.139472,ARS,0.1081
REL,Almirante Zar,-43.2105,-65.270319,ARS,0.1081
VDM,Gobernador Castello,-40.869222,-63.000389,ARS,0.1081
PMY,El Tehuelche,-42.759161,-65.102725,ARS,0.1081
PUD,Puerto Deseado,-47.735292,-65.904097,ARS,0.1081
RGA,Rio Grande,-53.777667,-67.74938900000001,ARS,0.1081
RGL,Rio Gallegos,-51.608875,-69.312636,ARS,0.1081
USH,Ushuaia Malvinas Argentinas,-54.843278000000005,-68.29575,ARS,0.1081
ULA,San Julian,-49.306775,-67.802589,ARS,0.1081
PMQ,Perito Moreno,-46.537911,-70.978689,ARS,0.1081
RZA,Santa Cruz,-50.01655,-68.579197,ARS,0.1081
BHI,Comandante Espora,-38.724967,-62.16931700000001,ARS,0.1081
MDQ,Mar Del Plata,-37.934166999999995,-57.573333,ARS,0.1081
NQN,Presidente Peron,-38.949,-68.155711,ARS,0.1081
RSA,Santa Rosa,-36.588322,-64.275694,ARS,0.1081
BRC,San Carlos De Bariloche,-41.151171999999995,-71.157542,ARS,0.1081
TDL,Tandil,-37.237392,-59.227922,ARS,0.1081
VLG,Villa Gesell,-37.235408,-57.029239000000004,ARS,0.1081
CPC,Aviador C Campos,-40.075383,-71.137294,ARS,0.1081
EZE,Ministro Pistarini,-34.822222,-58.535833,ARS,0.1081
FTE,El Calafate,-50.280322,-72.05310300000001,ARS,0.1081
SST,Santa Teresita Airport,-36.542317,-56.721756000000006,ARS,0.1081
GGS,Gobernador Gregores Airport,-48.7831,-70.15,ARS,0.1081
OES,Antoine De St Exupery Airport,-40.7512,-65.0343,ARS,0.1081
LHS,Las Heras Airport,-46.533056,-68.951111,ARS,0.1081
TTG,General Enrique Mosconi Airport,-22.619167,-63.793189,ARS,0.1081
NEC,Necochea Airport,-38.483056,-58.817221999999994,ARS,0.1081
ING,Lago Argentino Airport,-50.3361,-72.2486,ARS,0.1081
APZ,ZAPALA,-38.9755,-70.11358100000001,ARS,0.1081
RDS,Rincon de los Sauces,-37.390617,-68.904211,ARS,0.1081
OLN,Colonia Sarmiento,-45.6,-69.083333,ARS,0.1081
RYO,Rio Turbio,-51.533333,-72.3,ARS,0.1081
CVI,Caleta Olivia,-46.4333,-67.5333,ARS,0.1081
SGV,Sierra Grande,-41.592,-65.34100000000001,ARS,0.1081
IGB,Ingeniero Jacobacci,-41.3,-69.5833,ARS,0.1081
ELX,El Chalten,-49.328889000000004,-72.93,ARS,0.1081
RLO,Aeropuerto Internacional Valle del Conlara,-32.349803,-65.179932,ARS,0.1081
ARR,Alto Rio Senguer Airport,-45.016667,-70.81666700000001,ARS,0.1081
JSM,Jose de San Martin Airport,-44.016667,-70.466667,ARS,0.1081
CFX,Gilberto Lavaque,-26.06245,-65.93209499999999,ARS,0.1081
RHD,Termal,-27.509946000000003,-64.936666,ARS,0.1081
EVN,Zvartnots,40.147275,44.395881,AMD,0.0019809999999999997
